,ZIP,Earthquake_intersection_count,Recent_Fire_Count,All_Fire_Count,all_fire_acre_sum,intersect_fire_severity_count,fire_severity_overlap_area_sum,earthquake_overlap_area,Fatalities,Injuries,value,Xgroup,Ygroup
153,94560,8,0,0,0,0,0,468856932.7,0,0,0.505916547,F,8
35,94707,1,0,0,0,3,115047267.4,3992523.07,0,0,0.507105809,F,9
146,94542,7,0,1,75.462364,0,0,2112187.218,0,0,0.507858293,F,10
67,94563,0,1,2,1622.755371,7,127754355.4,0,0,0,0.511024593,F,11
160,94553,0,5,13,319.363617,4,68369803.57,0,0,0,0.515680065,F,12
53,94061,1,0,0,0,1,6823762.007,84873509.78,0,0,0.527511031,F,13
73,94602,2,0,0,0,1,81201542,21225991.35,0,0,0.539511689,G,1
185,94558,0,15,101,459923.8371,2,44987.09519,0,12,5,0.540356933,G,2
99,94546,3,0,0,0,2,86874265.32,8332859.995,0,0,0.548685815,G,3
71,94720,2,0,0,0,1,81201542,51852465.81,0,0,0.551676061,G,4
158,94517,1,3,12,4324.858734,0,0,10670576.2,0,1,0.564814227,G,5
109,94544,3,0,1,75.462364,0,0,240494290.8,0,0,0.56738127,G,6
64,94402,1,0,1,0,6,11872458.11,45699739.17,0,0,0.576079639,H,1
104,94002,3,0,0,0,2,11515028.29,62529936.62,0,0,0.578720902,H,2
139,94610,7,0,0,0,1,81201542,52998532.75,0,0,0.589629014,H,3
85,94577,2,0,0,0,3,86913588.61,119539691.9,0,0,0.591717553,H,4
172,94509,15,0,5,1667.301376,0,0,55506732.65,0,0,0.59244598,H,5
148,94531,7,0,2,375.028381,0,0,184076696.4,0,0,0.594271025,H,6
180,94019,35,0,2,0,5,0,56413861.37,0,0,0.608794472,H,7
179,95140,6,1,56,148872.2263,0,0,5330128.338,0,0,0.608964977,H,8
186,94561,134,1,1,0,0,0,321863531.2,0,0,0.610266782,H,9
115,94578,4,0,0,0,2,86874265.32,168007532.2,0,0,0.615325252,I,1
164,94521,8,2,5,769.90863,0,0,39120858.35,0,0,0.624565219,I,2
59,94704,1,0,1,1622.755371,1,81201542,51852465.81,0,0,0.631736411,I,3
61,94705,1,0,1,1622.755371,1,81201542,51852465.81,0,0,0.631736411,I,4
154,94070,8,0,0,0,5,18561271.11,144055704.4,0,0,0.632695984,I,5
167,95035,5,5,6,140.606964,0,0,197408718.1,0,0,0.65574028,J,1
147,94010,6,0,3,0,2,11872458.11,57902379.77,0,0,0.65856409,J,2
182,94565,48,3,7,1926.507355,0,0,75519110.98,0,0,0.670782381,J,3
149,94605,7,1,0,0,2,81240865.3,139676097,0,0,0.684683607,J,4
183,94550,10,14,71,54851.67653,0,0,76780803.04,0,0,0.687562683,J,5
174,94514,7,3,20,7179.593796,0,0,211376025.4,0,0,0.692823464,K,1
136,94618,6,0,1,1622.755371,1,81201542,53876103.39,0,0,0.705034467,K,2
110,94586,1,1,3,824.712891,3,9519284.672,54900792.26,0,0,0.707968832,K,3
131,94028,5,0,1,1328.125732,1,19141623.37,89594432.85,0,0,0.708139301,K,4
181,94513,43,2,16,6793.404678,0,0,275633612.9,0,0,0.708206321,K,5
117,94539,3,0,2,429.466705,1,1651368.294,251813115,0,0,0.712514107,K,6
145,94611,7,0,1,1622.755371,1,81201542,75102094.75,0,0,0.721756168,K,7
113,94506,2,1,2,2361.288574,5,3613794.519,123059887.2,0,0,0.775978341,M,1
165,94552,10,2,1,312.406555,1,1651368.294,111610285.8,0,0,0.785398115,M,2
137,94566,4,1,4,465.70256,3,8433782.366,177960679.5,0,0,0.807259248,M,3
170,94588,13,2,1,93.652779,2,7383069.725,123087169.7,0,0,0.808849134,N,1
177,94062,20,1,5,1328.125732,6,37461693.07,93520964.51,0,0,0.848002226,N,2
